(-0.11321781389751492, 0.18380205053910056)
(-0.1110349834626132, 0.18807277988909535)
(-0.10884176746668989, 0.19237492597702194)
(-0.10664825547289859, 0.19669016359752622)
(-0.10431805462303355, 0.20129050096687642)
(-0.10202231875626727, 0.2058395063622561)
(-0.09978172455458677, 0.21029626747299257)
(-0.09726992004006002, 0.21531078489330638)
(-0.09501691257935042, 0.21982840727084088)
(-0.0928194719030314, 0.2242503172842893)
(-0.09060168871472574, 0.22872868851860986)
(-0.08840398543815511, 0.23318004663145783)
(-0.08621045209195877, 0.23763525683832606)
(-0.08401712758272538, 0.2420999929818522)
(-0.08180447954164081, 0.24661280059245408)
(-0.07919612018417284, 0.2519413402482172)
(-0.07673256461067081, 0.25697904393152665)
(-0.07436791630051336, 0.26181390211648803)
(-0.07209206327711008, 0.2664666712945344)
(-0.06980979219449178, 0.2711296393979736)
(-0.0674449819314696, 0.2759555563888733)
(-0.06507476139055093, 0.28078392854813383)
(-0.06272220402719195, 0.2855655038139563)
(-0.06027039254510633, 0.29053408793678154)
(-0.057860276503151044, 0.2954018099751553)
(-0.05545553399709228, 0.30023960082514844)
(-0.05275711711993947, 0.30564174467360955)
(-0.05003543073448174, 0.3110602183676462)
(-0.04747390344271, 0.31613125084511773)
(-0.04495213591822613, 0.3210939173435449)
(-0.042391118705965486, 0.32610212569378805)
(-0.03980071666308984, 0.33113659275018376)
(-0.03717337068069489, 0.33620699523039976)
(-0.03454638826477179, 0.34123936176137737)
(-0.03189503975307221, 0.34627982940882934)
(-0.029198512356623928, 0.3513648014646479)
(-0.026468048026523198, 0.3564709827661082)
(-0.02378170330316926, 0.36145249775976984)
(-0.021112184779556342, 0.3663608200238858)
(-0.01841720878354733, 0.37127275538803356)
(-0.01570403878179337, 0.3761740004122559)
(-0.012926030025667563, 0.3811470763301554)
(-0.010128979194543695, 0.386108540159724)
(-0.007297685951808944, 0.39108406841438453)
(-0.004161631648538773, 0.39653714327172274)
(-0.0008949533915456189, 0.4021535012271792)
(0.0019859067340107193, 0.4070561973717205)
(0.00482251473560877, 0.4118331245327438)
(0.007586703947712088, 0.4164380111933992)
(0.010301623198392802, 0.42091272902765225)
(0.012997059923984509, 0.4253060856627126)
(0.01567705898460401, 0.4296225522464576)
(0.018385373399195923, 0.433930551420013)
(0.021168272176863033, 0.43830036683848594)
(0.024038424742697666, 0.442749097995475)
(0.027018403428491867, 0.4473088705427478)
(0.030124659522528876, 0.45200166742923953)
(0.03337765110385945, 0.45685495306689633)
(0.03678852304509635, 0.461882318717092)
(0.04028817946207984, 0.4669810419781126)
(0.04393554210779926, 0.4722370375385399)
(0.04774084443956139, 0.4776618855902766)
(0.05168736785944559, 0.4832332781332853)
(0.055738285970500595, 0.4888998741356022)
(0.05992342341843268, 0.49469839162805507)
(0.06422208868647299, 0.5005993329134677)
(0.06855984912988147, 0.5064983756494805)
(0.0728532638519886, 0.512284723774812)
(0.07708023245654273, 0.5179323994468853)
(0.08127550548276637, 0.5234920634027627)
(0.08537624858554224, 0.5288828578452133)
(0.08938300612511597, 0.5341080759970686)
(0.09326226111209453, 0.5391267856619912)
(-0.3602348678995607, -0.10691858731761039)
(-0.36011802672976967, -0.10679597086126698)
(-0.3598899626414255, -0.10656688620058621)
(-0.35959484859390495, -0.1062742156293318)
(-0.359217220670834, -0.10590389789679802)
(-0.35863707898529296, -0.10534264039889152)
(-0.35801914244659694, -0.10475219096009342)
(-0.357384456851122, -0.1041522706933538)
(-0.3567156110497457, -0.10352648899179508)
(-0.3560140611545358, -0.10287663510085375)
(-0.3552958142712163, -0.10221766778174914)
(-0.3545669644561385, -0.10155508836325448)
(-0.35384207558108316, -0.10090193816516897)
(-0.35297621856585876, -0.10012975817250166)
(-0.35218065378561914, -0.09942665209404085)
